Gender,Study_Time,Reading_Speed,Multimedia_Usage,Note_Taking,Recall_Strategy,Preferred_Content,Learning_Style
Female,Less than 1 hour,Average,Sometimes,Handwritten,Teaching Others,Video,Visual
Male,1-2 hours,Average,Frequently,,Flashcards,Video,Visual
Female,More than 3 hours,Fast,Frequently,None,Rewriting Notes,,Visual
Female,More than 3 hours,Average,Frequently,,Flashcards,Video,Visual
Male,1-2 hours,Fast,Frequently,Handwritten,Summary Notes,Audio,Visual
Male,Less than 1 hour,Fast,Frequently,Typed,Teaching Others,Video,Visual
Male,Less than 1 hour,Average,Frequently,Handwritten,Teaching Others,Audio,Visual
Male,2-3 hours,Average,Frequently,Handwritten,Flashcards,Audio,Visual
Female,Less than 1 hour,Average,Rarely,None,Teaching Others,Video,Visual
Male,Less than 1 hour,,Sometimes,Typed,Summary Notes,Video,Visual
Male,2-3 hours,Average,Sometimes,None,Rewriting Notes,Video,Visual
,2-3 hours,Slow,Rarely,Typed,Flashcards,Audio,Visual
Male,1-2 hours,Slow,Sometimes,None,Rewriting Notes,Video,Visual
Female,,Average,Rarely,None,Rewriting Notes,Audio,Visual
Female,More than 3 hours,Slow,Sometimes,Handwritten,Summary Notes,Audio,Visual
Female,1-2 hours,Slow,Frequently,Handwritten,Flashcards,Video,Visual
Male,2-3 hours,Average,Rarely,Handwritten,,Video,Visual
Female,2-3 hours,Average,Frequently,Handwritten,Summary Notes,Audio,Visual
Male,,Fast,Sometimes,Handwritten,Summary Notes,Video,Visual
Female,2-3 hours,Average,Frequently,Handwritten,Summary Notes,Audio,Visual
Female,More than 3 hours,Fast,Rarely,Handwritten,Flashcards,Audio,Visual
Male,Less than 1 hour,Average,Sometimes,Handwritten,Summary Notes,Video,Visual
Male,More than 3 hours,Fast,Frequently,Handwritten,Flashcards,,Visual
Female,More than 3 hours,,Sometimes,Handwritten,Summary Notes,Audio,Visual
Female,1-2 hours,Slow,Frequently,Handwritten,Summary Notes,Audio,Visual
Female,2-3 hours,Average,Sometimes,Handwritten,Summary Notes,,Visual
Male,Less than 1 hour,Fast,,Handwritten,Summary Notes,Video,Visual
Female,More than 3 hours,Average,Frequently,Handwritten,Flashcards,Video,Visual
Male,1-2 hours,Average,Frequently,,Summary Notes,Audio,Visual
Female,Less than 1 hour,Fast,Frequently,Handwritten,Flashcards,Audio,Visual
Female,Less than 1 hour,Slow,Frequently,Handwritten,Summary Notes,Video,Visual
Female,1-2 hours,Slow,Frequently,Handwritten,Flashcards,Video,Visual
Male,1-2 hours,Fast,Frequently,Handwritten,Summary Notes,Video,Visual
Female,2-3 hours,Slow,Rarely,Handwritten,Flashcards,Video,Visual
Female,More than 3 hours,Average,Frequently,Handwritten,Flashcards,Video,Visual
Male,Less than 1 hour,Slow,Rarely,Handwritten,Flashcards,Video,Visual
Male,1-2 hours,Average,Frequently,Handwritten,Flashcards,Video,Visual
Female,More than 3 hours,Average,Rarely,Handwritten,Flashcards,Video,Visual
Male,Less than 1 hour,Average,Frequently,Handwritten,Summary Notes,Video,Visual
Male,,Slow,Sometimes,Handwritten,Summary Notes,Video,Visual
Female,More than 3 hours,Average,Frequently,Handwritten,Flashcards,Video,Visual
Female,,Slow,Sometimes,Handwritten,Flashcards,Audio,Visual
Male,More than 3 hours,Slow,Rarely,Handwritten,,Video,Visual
